source_log,head,fold,epoch,max_epochs,loss,val_loss,lr
primary_viscosity_training_record,kan,2,96,1000,0.0317,0.0461,0.001
primary_viscosity_training_record,kan,2,97,1000,0.0316,0.0441,0.001
primary_viscosity_training_record,kan,2,98,1000,0.0313,0.0452,0.001
primary_viscosity_training_record,kan,2,99,1000,0.0312,0.0441,0.001
primary_viscosity_training_record,kan,2,100,1000,0.0308,0.0457,0.001
primary_viscosity_training_record,kan,2,101,1000,0.0306,0.0436,0.001
primary_viscosity_training_record,kan,2,102,1000,0.0303,0.0441,0.001
primary_viscosity_training_record,kan,2,103,1000,0.0301,0.0449,0.001
primary_viscosity_training_record,kan,2,104,1000,0.0301,0.0437,0.001
primary_viscosity_training_record,kan,2,105,1000,0.0297,0.0445,0.001
primary_viscosity_training_record,kan,2,106,1000,0.0295,0.0427,0.001
primary_viscosity_training_record,kan,2,107,1000,0.0293,0.044,0.001
primary_viscosity_training_record,kan,2,108,1000,0.029,0.0433,0.001
primary_viscosity_training_record,kan,2,109,1000,0.0288,0.0428,0.001
primary_viscosity_training_record,kan,2,110,1000,0.0286,0.044,0.001
primary_viscosity_training_record,kan,2,111,1000,0.0287,0.0426,0.001
primary_viscosity_training_record,kan,2,112,1000,0.0282,0.0431,0.001
primary_viscosity_training_record,kan,2,113,1000,0.028,0.0433,0.001
primary_viscosity_training_record,kan,2,114,1000,0.028,0.0431,0.001
primary_viscosity_training_record,kan,2,115,1000,0.0278,0.0443,0.001
primary_viscosity_training_record,kan,2,116,1000,0.0275,0.0409,0.001
primary_viscosity_training_record,kan,2,117,1000,0.0272,0.0445,0.001
primary_viscosity_training_record,kan,2,118,1000,0.0272,0.0425,0.001
primary_viscosity_training_record,kan,2,119,1000,0.0273,0.0417,0.001
primary_viscosity_training_record,kan,2,120,1000,0.0269,0.0448,0.001
primary_viscosity_training_record,kan,2,121,1000,0.0266,0.0414,0.001
primary_viscosity_training_record,kan,2,122,1000,0.0264,0.0435,0.001
primary_viscosity_training_record,kan,2,123,1000,0.0261,0.0426,0.001
primary_viscosity_training_record,kan,2,124,1000,0.0259,0.0414,0.001
primary_viscosity_training_record,kan,2,125,1000,0.0257,0.0432,0.001
primary_viscosity_training_record,kan,2,126,1000,0.0263,0.0426,0.001
primary_viscosity_training_record,kan,3,1,1000,0.1503,0.069,0.001
primary_viscosity_training_record,kan,3,2,1000,0.0884,0.0648,0.001
primary_viscosity_training_record,kan,3,3,1000,0.0795,0.0677,0.001
primary_viscosity_training_record,kan,3,4,1000,0.07,0.0647,0.001
primary_viscosity_training_record,kan,3,5,1000,0.0667,0.0627,0.001
primary_viscosity_training_record,kan,3,6,1000,0.0656,0.0651,0.001
primary_viscosity_training_record,kan,3,7,1000,0.0641,0.0646,0.001
primary_viscosity_training_record,kan,3,8,1000,0.063,0.064,0.001
primary_viscosity_training_record,kan,3,9,1000,0.062,0.0621,0.001
primary_viscosity_training_record,kan,3,10,1000,0.0607,0.0636,0.001
primary_viscosity_training_record,kan,3,11,1000,0.0609,0.0604,0.001
primary_viscosity_training_record,kan,3,12,1000,0.0599,0.059,0.001
primary_viscosity_training_record,kan,3,13,1000,0.06,0.0589,0.001
primary_viscosity_training_record,kan,3,14,1000,0.0598,0.0622,0.001
primary_viscosity_training_record,kan,3,15,1000,0.0581,0.0575,0.001
primary_viscosity_training_record,kan,3,16,1000,0.0584,0.0574,0.001
primary_viscosity_training_record,kan,3,17,1000,0.0573,0.0586,0.001
primary_viscosity_training_record,kan,3,18,1000,0.0565,0.0586,0.001
primary_viscosity_training_record,kan,3,19,1000,0.0554,0.0555,0.001
primary_viscosity_training_record,kan,3,20,1000,0.055,0.0554,0.001
primary_viscosity_training_record,kan,3,21,1000,0.0538,0.0566,0.001
primary_viscosity_training_record,kan,3,22,1000,0.054,0.0557,0.001
primary_viscosity_training_record,kan,3,23,1000,0.0534,0.0549,0.001
primary_viscosity_training_record,kan,3,24,1000,0.0525,0.0546,0.001
primary_viscosity_training_record,kan,3,25,1000,0.0518,0.054,0.001
primary_viscosity_training_record,kan,3,26,1000,0.0514,0.0542,0.001
primary_viscosity_training_record,kan,3,27,1000,0.0509,0.0535,0.001
primary_viscosity_training_record,kan,3,28,1000,0.0508,0.0536,0.001
primary_viscosity_training_record,kan,3,29,1000,0.0505,0.053,0.001
primary_viscosity_training_record,kan,3,30,1000,0.0498,0.0518,0.001
primary_viscosity_training_record,kan,3,31,1000,0.0494,0.052,0.001
primary_viscosity_training_record,kan,3,32,1000,0.0488,0.0533,0.001
primary_viscosity_training_record,kan,3,33,1000,0.0481,0.0519,0.001
primary_viscosity_training_record,kan,3,34,1000,0.048,0.0519,0.001
primary_viscosity_training_record,kan,3,35,1000,0.0478,0.0517,0.001
primary_viscosity_training_record,kan,3,36,1000,0.047,0.0512,0.001
primary_viscosity_training_record,kan,3,37,1000,0.0464,0.0507,0.001
primary_viscosity_training_record,kan,3,38,1000,0.0464,0.0499,0.001
primary_viscosity_training_record,kan,3,39,1000,0.0463,0.0498,0.001
primary_viscosity_training_record,kan,3,40,1000,0.045,0.0493,0.001
primary_viscosity_training_record,kan,3,41,1000,0.0455,0.0491,0.001
primary_viscosity_training_record,kan,3,42,1000,0.0452,0.0508,0.001
primary_viscosity_training_record,kan,3,43,1000,0.0452,0.0498,0.001
primary_viscosity_training_record,kan,3,44,1000,0.0442,0.05,0.001
primary_viscosity_training_record,kan,3,45,1000,0.0449,0.0483,0.001
primary_viscosity_training_record,kan,3,46,1000,0.0437,0.0488,0.001
primary_viscosity_training_record,kan,3,47,1000,0.0432,0.0484,0.001
primary_viscosity_training_record,kan,3,48,1000,0.0439,0.0489,0.001
primary_viscosity_training_record,kan,3,49,1000,0.0431,0.0477,0.001
primary_viscosity_training_record,kan,3,50,1000,0.0424,0.0471,0.001
primary_viscosity_training_record,kan,3,51,1000,0.0415,0.0466,0.001
primary_viscosity_training_record,kan,3,52,1000,0.0412,0.047,0.001
primary_viscosity_training_record,kan,3,53,1000,0.0412,0.0475,0.001
primary_viscosity_training_record,kan,3,54,1000,0.0408,0.0461,0.001
primary_viscosity_training_record,kan,3,55,1000,0.0403,0.0454,0.001
primary_viscosity_training_record,kan,3,56,1000,0.0405,0.0455,0.001
primary_viscosity_training_record,kan,3,57,1000,0.0395,0.0475,0.001
primary_viscosity_training_record,kan,3,58,1000,0.0402,0.0469,0.001
primary_viscosity_training_record,kan,3,59,1000,0.039,0.0459,0.001
primary_viscosity_training_record,kan,3,60,1000,0.0389,0.043,0.001
primary_viscosity_training_record,kan,3,61,1000,0.0397,0.0428,0.001
primary_viscosity_training_record,kan,3,62,1000,0.0385,0.0455,0.001
primary_viscosity_training_record,kan,3,63,1000,0.0397,0.0457,0.001
primary_viscosity_training_record,kan,3,64,1000,0.0379,0.0455,0.001
primary_viscosity_training_record,kan,3,65,1000,0.0375,0.044,0.001
primary_viscosity_training_record,kan,3,66,1000,0.0387,0.0431,0.001
primary_viscosity_training_record,kan,3,67,1000,0.0364,0.0454,0.001
primary_viscosity_training_record,kan,3,68,1000,0.0391,0.0413,0.001
primary_viscosity_training_record,kan,3,69,1000,0.0367,0.0418,0.001
primary_viscosity_training_record,kan,3,70,1000,0.0361,0.0417,0.001
primary_viscosity_training_record,kan,3,71,1000,0.0362,0.0425,0.001
primary_viscosity_training_record,kan,3,72,1000,0.036,0.044,0.001
primary_viscosity_training_record,kan,3,73,1000,0.0362,0.0428,0.001
primary_viscosity_training_record,kan,3,74,1000,0.0356,0.0417,0.001
primary_viscosity_training_record,kan,3,75,1000,0.035,0.0416,0.001
primary_viscosity_training_record,kan,3,76,1000,0.0346,0.0411,0.001
primary_viscosity_training_record,kan,3,77,1000,0.0358,0.0407,0.001
primary_viscosity_training_record,kan,3,78,1000,0.034,0.0415,0.001
primary_viscosity_training_record,kan,3,79,1000,0.0349,0.0403,0.001
primary_viscosity_training_record,kan,3,80,1000,0.0347,0.0405,0.001
primary_viscosity_training_record,kan,3,81,1000,0.0337,0.0398,0.001
primary_viscosity_training_record,kan,3,82,1000,0.0348,0.0397,0.001
primary_viscosity_training_record,kan,3,83,1000,0.0332,0.0399,0.001
primary_viscosity_training_record,kan,3,84,1000,0.0343,0.0372,0.001
primary_viscosity_training_record,kan,3,85,1000,0.0325,0.0383,0.001
primary_viscosity_training_record,kan,3,86,1000,0.0328,0.0383,0.001
primary_viscosity_training_record,kan,3,87,1000,0.0335,0.0382,0.001
primary_viscosity_training_record,kan,3,88,1000,0.0323,0.0381,0.001
primary_viscosity_training_record,kan,3,89,1000,0.0327,0.0375,0.001
primary_viscosity_training_record,kan,3,90,1000,0.0314,0.0372,0.001
primary_viscosity_training_record,kan,3,91,1000,0.0318,0.0364,0.001
primary_viscosity_training_record,kan,3,92,1000,0.0312,0.0371,0.001
primary_viscosity_training_record,kan,3,93,1000,0.031,0.0369,0.001
primary_viscosity_training_record,kan,3,94,1000,0.0316,0.0353,0.001
primary_viscosity_training_record,kan,3,95,1000,0.031,0.036,0.001
primary_viscosity_training_record,kan,3,96,1000,0.0311,0.0359,0.001
primary_viscosity_training_record,kan,3,97,1000,0.0304,0.0354,0.001
primary_viscosity_training_record,kan,3,98,1000,0.0302,0.0349,0.001
