source_log,head,fold,epoch,max_epochs,loss,val_loss,lr
primary_mouse_exposure_training_record,spline,2,47,1000,0.083,0.084,0.001
primary_mouse_exposure_training_record,spline,2,48,1000,0.0823,0.0848,0.001
primary_mouse_exposure_training_record,spline,2,49,1000,0.0815,0.086,0.001
primary_mouse_exposure_training_record,spline,2,50,1000,0.0817,0.0842,0.001
primary_mouse_exposure_training_record,spline,2,51,1000,0.0811,0.0832,0.001
primary_mouse_exposure_training_record,spline,2,52,1000,0.0806,0.0825,0.001
primary_mouse_exposure_training_record,spline,2,53,1000,0.0801,0.0836,0.001
primary_mouse_exposure_training_record,spline,2,54,1000,0.0806,0.0821,0.001
primary_mouse_exposure_training_record,spline,2,55,1000,0.0806,0.0813,0.001
primary_mouse_exposure_training_record,spline,2,56,1000,0.0805,0.0855,0.001
primary_mouse_exposure_training_record,spline,2,57,1000,0.08,0.0841,0.001
primary_mouse_exposure_training_record,spline,2,58,1000,0.0805,0.0815,0.001
primary_mouse_exposure_training_record,spline,2,59,1000,0.0798,0.0817,0.001
primary_mouse_exposure_training_record,spline,2,60,1000,0.0786,0.079,0.001
primary_mouse_exposure_training_record,spline,2,61,1000,0.0802,0.0798,0.001
primary_mouse_exposure_training_record,spline,2,62,1000,0.0789,0.0796,0.001
primary_mouse_exposure_training_record,spline,2,63,1000,0.0786,0.0814,0.001
primary_mouse_exposure_training_record,spline,2,64,1000,0.0788,0.0793,0.001
primary_mouse_exposure_training_record,spline,2,65,1000,0.0795,0.0788,0.001
primary_mouse_exposure_training_record,spline,2,66,1000,0.0779,0.083,0.001
primary_mouse_exposure_training_record,spline,2,67,1000,0.0787,0.0814,0.001
primary_mouse_exposure_training_record,spline,2,68,1000,0.0766,0.0776,0.001
primary_mouse_exposure_training_record,spline,2,69,1000,0.0763,0.0789,0.001
primary_mouse_exposure_training_record,spline,2,70,1000,0.0784,0.0782,0.001
primary_mouse_exposure_training_record,spline,2,71,1000,0.0761,0.0768,0.001
primary_mouse_exposure_training_record,spline,2,72,1000,0.0762,0.0792,0.001
primary_mouse_exposure_training_record,spline,2,73,1000,0.0758,0.0791,0.001
primary_mouse_exposure_training_record,spline,2,74,1000,0.0753,0.0772,0.001
primary_mouse_exposure_training_record,spline,2,75,1000,0.0762,0.0792,0.001
primary_mouse_exposure_training_record,spline,2,76,1000,0.074,0.0757,0.001
primary_mouse_exposure_training_record,spline,2,77,1000,0.0763,0.0771,0.001
primary_mouse_exposure_training_record,spline,2,78,1000,0.0773,0.0818,0.001
primary_mouse_exposure_training_record,spline,2,79,1000,0.0758,0.0779,0.001
primary_mouse_exposure_training_record,spline,2,80,1000,0.0746,0.0784,0.001
primary_mouse_exposure_training_record,spline,2,81,1000,0.0734,0.0744,0.001
primary_mouse_exposure_training_record,spline,2,82,1000,0.0733,0.0752,0.001
primary_mouse_exposure_training_record,spline,2,83,1000,0.0727,0.0764,0.001
primary_mouse_exposure_training_record,spline,2,84,1000,0.0721,0.076,0.001
primary_mouse_exposure_training_record,spline,2,85,1000,0.0718,0.0744,0.001
primary_mouse_exposure_training_record,spline,2,86,1000,0.0719,0.0734,0.001
primary_mouse_exposure_training_record,spline,2,87,1000,0.0718,0.0744,0.001
primary_mouse_exposure_training_record,spline,2,88,1000,0.0724,0.0778,0.001
primary_mouse_exposure_training_record,spline,2,89,1000,0.0715,0.0747,0.001
primary_mouse_exposure_training_record,spline,2,90,1000,0.072,0.0739,0.001
primary_mouse_exposure_training_record,spline,2,91,1000,0.0715,0.074,0.001
primary_mouse_exposure_training_record,spline,2,92,1000,0.0707,0.0727,0.001
primary_mouse_exposure_training_record,spline,2,93,1000,0.0704,0.0747,0.001
primary_mouse_exposure_training_record,spline,2,94,1000,0.0714,0.0724,0.001
primary_mouse_exposure_training_record,spline,2,95,1000,0.0712,0.0702,0.001
primary_mouse_exposure_training_record,spline,2,96,1000,0.0716,0.078,0.001
primary_mouse_exposure_training_record,spline,2,97,1000,0.0715,0.0711,0.001
primary_mouse_exposure_training_record,spline,2,98,1000,0.0708,0.0702,0.001
primary_mouse_exposure_training_record,spline,2,99,1000,0.0695,0.0707,0.001
primary_mouse_exposure_training_record,spline,2,100,1000,0.0693,0.0718,0.001
primary_mouse_exposure_training_record,spline,2,101,1000,0.0685,0.0735,0.001
primary_mouse_exposure_training_record,spline,2,102,1000,0.0693,0.0699,0.001
primary_mouse_exposure_training_record,spline,2,103,1000,0.0695,0.0702,0.001
primary_mouse_exposure_training_record,spline,2,104,1000,0.069,0.0712,0.001
primary_mouse_exposure_training_record,spline,2,105,1000,0.0682,0.0685,0.001
primary_mouse_exposure_training_record,spline,2,106,1000,0.0677,0.0714,0.001
primary_mouse_exposure_training_record,spline,2,107,1000,0.0693,0.0716,0.001
primary_mouse_exposure_training_record,spline,2,108,1000,0.0674,0.0742,0.001
primary_mouse_exposure_training_record,spline,2,109,1000,0.069,0.0685,0.001
primary_mouse_exposure_training_record,spline,2,110,1000,0.0665,0.0681,0.001
primary_mouse_exposure_training_record,spline,2,111,1000,0.0667,0.0698,0.001
primary_mouse_exposure_training_record,spline,2,112,1000,0.0665,0.0709,0.001
primary_mouse_exposure_training_record,spline,2,113,1000,0.0664,0.068,0.001
primary_mouse_exposure_training_record,spline,2,114,1000,0.0669,0.0675,0.001
primary_mouse_exposure_training_record,spline,2,115,1000,0.0683,0.0692,0.001
primary_mouse_exposure_training_record,spline,2,116,1000,0.0666,0.0722,0.001
primary_mouse_exposure_training_record,spline,2,117,1000,0.0656,0.0695,0.001
primary_mouse_exposure_training_record,spline,2,118,1000,0.0657,0.0706,0.001
primary_mouse_exposure_training_record,spline,2,119,1000,0.066,0.0698,0.001
primary_mouse_exposure_training_record,spline,2,120,1000,0.0653,0.0672,0.001
primary_mouse_exposure_training_record,spline,2,121,1000,0.0645,0.0677,0.001
primary_mouse_exposure_training_record,spline,2,122,1000,0.0656,0.0669,0.001
primary_mouse_exposure_training_record,spline,2,123,1000,0.0653,0.0659,0.001
primary_mouse_exposure_training_record,spline,2,124,1000,0.0672,0.0671,0.001
primary_mouse_exposure_training_record,spline,2,125,1000,0.0671,0.067,0.001
primary_mouse_exposure_training_record,spline,2,126,1000,0.067,0.0732,0.001
primary_mouse_exposure_training_record,spline,2,127,1000,0.0646,0.0646,0.001
primary_mouse_exposure_training_record,spline,2,128,1000,0.0656,0.0663,0.001
primary_mouse_exposure_training_record,spline,2,129,1000,0.0638,0.0693,0.001
primary_mouse_exposure_training_record,spline,2,130,1000,0.063,0.0672,0.001
primary_mouse_exposure_training_record,spline,2,131,1000,0.0629,0.0684,0.001
primary_mouse_exposure_training_record,spline,2,132,1000,0.0628,0.065,0.001
primary_mouse_exposure_training_record,spline,2,133,1000,0.0624,0.0663,0.001
primary_mouse_exposure_training_record,spline,2,134,1000,0.0634,0.0667,0.001
primary_mouse_exposure_training_record,spline,2,135,1000,0.0616,0.0639,0.001
primary_mouse_exposure_training_record,spline,2,136,1000,0.0614,0.0643,0.001
primary_mouse_exposure_training_record,spline,2,137,1000,0.0614,0.064,0.001
primary_mouse_exposure_training_record,spline,2,138,1000,0.0624,0.0642,0.001
primary_mouse_exposure_training_record,spline,2,139,1000,0.0607,0.0682,0.001
primary_mouse_exposure_training_record,spline,2,140,1000,0.0637,0.0646,0.001
primary_mouse_exposure_training_record,spline,2,141,1000,0.065,0.0639,0.001
primary_mouse_exposure_training_record,spline,2,142,1000,0.0648,0.0682,0.001
primary_mouse_exposure_training_record,spline,2,143,1000,0.0608,0.0656,0.001
primary_mouse_exposure_training_record,spline,2,144,1000,0.0633,0.0688,0.001
primary_mouse_exposure_training_record,spline,2,145,1000,0.0619,0.0643,0.001
primary_mouse_exposure_training_record,spline,2,146,1000,0.0599,0.064,0.0005
primary_mouse_exposure_training_record,spline,2,147,1000,0.0598,0.0649,0.0005
primary_mouse_exposure_training_record,spline,2,148,1000,0.0596,0.0646,0.0005
primary_mouse_exposure_training_record,spline,2,149,1000,0.0596,0.0636,0.0005
primary_mouse_exposure_training_record,spline,2,150,1000,0.0601,0.0624,0.0005
primary_mouse_exposure_training_record,spline,2,151,1000,0.0591,0.0651,0.0005
primary_mouse_exposure_training_record,spline,2,152,1000,0.0598,0.0652,0.0005
primary_mouse_exposure_training_record,spline,2,153,1000,0.0589,0.0639,0.0005
primary_mouse_exposure_training_record,spline,2,154,1000,0.0595,0.0631,0.0005
primary_mouse_exposure_training_record,spline,2,155,1000,0.0591,0.0638,0.0005
primary_mouse_exposure_training_record,spline,2,156,1000,0.0591,0.0627,0.0005
primary_mouse_exposure_training_record,spline,2,157,1000,0.0585,0.0613,0.0005
